league,season,gamesBehind,streak,winStreak,tieBreakerPoints,team.id,team.name,team.nickname,team.code,team.logo,conference.name,conference.rank,conference.win,conference.loss,division.name,division.rank,division.win,division.loss,division.gamesBehind,win.home,win.away,win.total,win.percentage,win.lastTen,loss.home,loss.away,loss.total,loss.percentage,loss.lastTen
standard,2021,18.0,3,False,,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,east,12,24,28,southeast,4,7,9,18.0,21,14,35,.427,5,20,27,47,.573,5
standard,2021,10.0,3,True,,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,east,10,27,25,southeast,3,8,8,10.0,22,21,43,.524,6,19,20,39,.476,4
standard,2021,0.0,1,False,,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,east,1,35,17,southeast,1,13,3,0.0,29,24,53,.646,6,12,17,29,.354,4
standard,2021,10.0,1,True,,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,east,8,26,26,southeast,2,9,7,10.0,27,16,43,.524,7,14,25,39,.476,3
standard,2021,31.0,1,True,,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,east,15,12,40,southeast,5,3,13,31.0,12,10,22,.268,3,29,31,60,.732,7
standard,2021,16.0,2,True,,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,east,11,22,30,atlantic,5,5,11,14.0,17,20,37,.451,7,24,21,45,.549,3
standard,2021,9.0,4,True,,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,east,7,31,21,atlantic,4,10,6,7.0,20,24,44,.537,6,21,17,38,.463,4
standard,2021,2.0,2,True,,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,east,4,32,20,atlantic,2,6,10,0.0,24,27,51,.622,6,17,14,31,.378,4
standard,2021,5.0,1,False,,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,east,5,30,22,atlantic,3,10,6,3.0,24,24,48,.585,8,17,17,34,.415,2
standard,2021,2.0,1,True,,2,Boston Celtics,Celtics,BOS,https://upload.wikimedia.org/wikipedia/fr/thumb/6/65/Celtics_de_Boston_logo.svg/1024px-Celtics_de_Boston_logo.svg.png,east,2,33,19,atlantic,1,9,7,0.0,28,23,51,.622,7,13,18,31,.378,3
standard,2021,7.0,1,True,,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,east,6,29,23,central,2,10,6,5.0,27,19,46,.561,4,14,22,36,.439,6
standard,2021,2.0,1,False,,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,east,3,33,19,central,1,12,4,0.0,27,24,51,.622,6,14,17,31,.378,4
standard,2021,9.0,1,True,,7,Cleveland Cavaliers,Cavaliers,CLE,https://upload.wikimedia.org/wikipedia/fr/thumb/0/06/Cavs_de_Cleveland_logo_2017.png/150px-Cavs_de_Cleveland_logo_2017.png,east,9,27,25,central,3,10,6,7.0,25,19,44,.537,3,16,22,38,.463,7
standard,2021,28.0,10,False,,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,east,13,11,41,central,4,2,14,26.0,16,9,25,.305,0,25,32,57,.695,10
standard,2021,30.0,3,False,,10,Detroit Pistons,Pistons,DET,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Logo_of_the_Detroit_Pistons.png/300px-Logo_of_the_Detroit_Pistons.png,east,14,18,34,central,5,6,10,28.0,13,10,23,.280,4,28,31,59,.720,6
