league,season,gamesBehind,streak,winStreak,tieBreakerPoints,team.id,team.name,team.nickname,team.code,team.logo,conference.name,conference.rank,conference.win,conference.loss,division.name,division.rank,division.win,division.loss,division.gamesBehind,win.home,win.away,win.total,win.percentage,win.lastTen,loss.home,loss.away,loss.total,loss.percentage,loss.lastTen
standard,2020,9.0,1,True,,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,east,6,24,18,southeast,2,6,6,1.0,21,19,40,.556,8,15,17,32,.444,2
standard,2020,8.0,4,True,,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,east,5,24,18,southeast,1,9,3,0.0,25,16,41,.569,7,11,20,31,.431,3
standard,2020,28.0,7,False,,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,east,14,13,29,southeast,5,4,8,20.0,11,10,21,.292,2,25,26,51,.708,8
standard,2020,16.0,5,False,,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,east,10,20,22,southeast,4,8,4,8.0,18,15,33,.458,3,18,21,39,.542,7
standard,2020,15.0,2,True,,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,east,8,16,26,southeast,3,3,9,7.0,19,15,34,.472,6,17,21,38,.528,4
standard,2020,1.0,5,True,,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,east,2,26,16,atlantic,2,8,4,1.0,28,20,48,.667,6,8,16,24,.333,4
standard,2020,13.0,1,False,,2,Boston Celtics,Celtics,BOS,https://upload.wikimedia.org/wikipedia/fr/thumb/6/65/Celtics_de_Boston_logo.svg/1024px-Celtics_de_Boston_logo.svg.png,east,7,20,22,atlantic,4,4,8,13.0,21,15,36,.500,4,15,21,36,.500,6
standard,2020,8.0,3,True,,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,east,4,25,17,atlantic,3,4,8,8.0,25,16,41,.569,7,11,20,31,.431,3
standard,2020,22.0,7,False,,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,east,12,17,25,atlantic,5,4,8,22.0,16,11,27,.375,1,20,25,45,.625,9
standard,2020,0.0,2,True,,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,east,1,31,11,atlantic,1,10,2,0.0,29,20,49,.681,8,7,16,23,.319,2
