league,season,gamesBehind,streak,winStreak,tieBreakerPoints,team.id,team.name,team.nickname,team.code,team.logo,conference.name,conference.rank,conference.win,conference.loss,division.name,division.rank,division.win,division.loss,division.gamesBehind,win.home,win.away,win.total,win.percentage,win.lastTen,loss.home,loss.away,loss.total,loss.percentage,loss.lastTen
standard,2019,23.0,1,True,,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,east,8,20,23,southeast,2,9,5,11.0,18,15,33,.452,5,17,23,40,.548,5
standard,2019,29.0,1,True,,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,east,10,16,24,southeast,4,2,7,17.0,10,13,23,.354,4,21,21,42,.646,6
standard,2019,12.0,2,False,,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,east,5,30,13,southeast,1,10,4,0.0,29,15,44,.603,4,7,22,29,.397,6
standard,2019,30.5,1,True,,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,east,9,18,27,southeast,3,5,9,18.5,16,9,25,.347,2,20,27,47,.653,8
standard,2019,33.0,1,False,,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,east,14,11,32,southeast,5,6,7,21.0,14,6,20,.299,4,20,27,47,.701,6
standard,2019,2.5,4,True,,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,east,2,34,11,atlantic,1,9,5,0.0,26,27,53,.736,9,10,9,19,.264,1
standard,2019,13.0,1,True,,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,east,6,28,18,atlantic,3,11,5,10.5,31,12,43,.589,5,4,26,30,.411,5
standard,2019,7.5,1,False,,2,Boston Celtics,Celtics,BOS,https://upload.wikimedia.org/wikipedia/fr/thumb/6/65/Celtics_de_Boston_logo.svg/1024px-Celtics_de_Boston_logo.svg.png,east,3,30,13,atlantic,2,9,6,5.0,26,22,48,.667,6,10,14,24,.333,4
standard,2019,20.5,1,False,,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,east,7,23,23,atlantic,4,6,10,18.0,20,15,35,.486,7,16,21,37,.514,3
standard,2019,31.5,1,True,,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,east,12,15,28,atlantic,5,2,11,29.0,11,10,21,.318,4,22,23,45,.682,6
