league,season,gamesBehind,streak,winStreak,tieBreakerPoints,team.id,team.name,team.nickname,team.code,team.logo,conference.name,conference.rank,conference.win,conference.loss,division.name,division.rank,division.win,division.loss,division.gamesBehind,win.home,win.away,win.total,win.percentage,win.lastTen,loss.home,loss.away,loss.total,loss.percentage,loss.lastTen
standard,2022,,3,True,,2,Boston Celtics,Celtics,BOS,https://upload.wikimedia.org/wikipedia/fr/thumb/6/65/Celtics_de_Boston_logo.svg/1024px-Celtics_de_Boston_logo.svg.png,east,2,57,25,atlantic,1,57,25,,32,25,57,0.695,8,9,16,25,0.305,2
standard,2022,3,2,True,,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,east,3,54,28,atlantic,2,54,28,3,29,25,54,0.659,5,12,16,28,0.341,5
standard,2022,10,2,False,,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,east,5,47,35,atlantic,3,47,35,10,23,24,47,0.573,5,18,17,35,0.427,5
standard,2022,12,1,False,,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,east,6,45,37,atlantic,4,45,37,12,23,22,45,0.549,6,18,19,37,0.451,4
standard,2022,16,1,True,,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,east,9,41,41,atlantic,5,41,41,16,27,14,41,0.500,6,14,27,41,0.500,4
standard,2022,,2,False,,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,east,1,58,24,central,1,58,24,,32,26,58,0.707,6,9,15,24,0.293,4
standard,2022,7,1,False,,7,Cleveland Cavaliers,Cavaliers,CLE,https://upload.wikimedia.org/wikipedia/fr/thumb/0/06/Cavs_de_Cleveland_logo_2017.png/150px-Cavs_de_Cleveland_logo_2017.png,east,4,51,31,central,2,51,31,7,31,20,51,0.622,7,10,21,31,0.378,3
standard,2022,18,2,True,,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,east,10,40,42,central,3,40,42,18,22,18,40,0.488,6,19,23,42,0.512,4
standard,2022,23,1,True,,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,east,12,35,47,central,4,35,47,23,20,15,35,0.427,3,21,26,47,0.573,7
standard,2022,41,1,False,,10,Detroit Pistons,Pistons,DET,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Logo_of_the_Detroit_Pistons.png/300px-Logo_of_the_Detroit_Pistons.png,east,15,17,65,central,5,17,65,41,9,8,17,0.207,1,32,33,65,0.793,9
