id,name,nickname,code,city,logo,allStar,nbaFranchise,leagues
1,Atlanta Hawks,Hawks,ATL,Atlanta,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,False,True,"{'standard': {'conference': 'East', 'division': 'Southeast'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'East', 'division': 'Southeast'}, 'sacramento': {'conference': 'East', 'division': 'Southeast'}}"
2,Boston Celtics,Celtics,BOS,Boston,https://upload.wikimedia.org/wikipedia/fr/thumb/6/65/Celtics_de_Boston_logo.svg/1024px-Celtics_de_Boston_logo.svg.png,False,True,"{'standard': {'conference': 'East', 'division': 'Atlantic'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'East', 'division': 'Atlantic'}, 'sacramento': {'conference': 'East', 'division': 'Atlantic'}}"
3,Brisbane Bullets,Bullets,BNE,Brisbane,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1b/Brisbane_Bullets_1992.png/130px-Brisbane_Bullets_1992.png,False,False,"{'standard': {'conference': 'Intl', 'division': None}}"
4,Brooklyn Nets,Nets,BKN,Brooklyn,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,False,True,"{'standard': {'conference': 'East', 'division': 'Atlantic'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'East', 'division': 'Atlantic'}, 'sacramento': {'conference': 'East', 'division': 'Atlantic'}}"
5,Charlotte Hornets,Hornets,CHA,Charlotte,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,False,True,"{'standard': {'conference': 'East', 'division': 'Southeast'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'East', 'division': 'Southeast'}, 'sacramento': {'conference': 'East', 'division': 'Southeast'}}"
6,Chicago Bulls,Bulls,CHI,Chicago,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,False,True,"{'standard': {'conference': 'East', 'division': 'Central'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'East', 'division': 'Central'}, 'sacramento': {'conference': 'East', 'division': 'Central'}}"
7,Cleveland Cavaliers,Cavaliers,CLE,Cleveland,https://upload.wikimedia.org/wikipedia/fr/thumb/0/06/Cavs_de_Cleveland_logo_2017.png/150px-Cavs_de_Cleveland_logo_2017.png,False,True,"{'standard': {'conference': 'East', 'division': 'Central'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'East', 'division': 'Central'}, 'sacramento': {'conference': 'East', 'division': 'Central'}}"
8,Dallas Mavericks,Mavericks,DAL,Dallas,https://upload.wikimedia.org/wikipedia/fr/thumb/b/b8/Mavericks_de_Dallas_logo.svg/150px-Mavericks_de_Dallas_logo.svg.png,False,True,"{'standard': {'conference': 'West', 'division': 'Southwest'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'West', 'division': 'Southwest'}, 'sacramento': {'conference': 'West', 'division': 'Southwest'}}"
9,Denver Nuggets,Nuggets,DEN,Denver,https://upload.wikimedia.org/wikipedia/fr/thumb/3/35/Nuggets_de_Denver_2018.png/180px-Nuggets_de_Denver_2018.png,False,True,"{'standard': {'conference': 'West', 'division': 'Northwest'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'West', 'division': 'Northwest'}, 'sacramento': {'conference': 'West', 'division': 'Northwest'}}"
10,Detroit Pistons,Pistons,DET,Detroit,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Logo_of_the_Detroit_Pistons.png/300px-Logo_of_the_Detroit_Pistons.png,False,True,"{'standard': {'conference': 'East', 'division': 'Central'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'East', 'division': 'Central'}, 'sacramento': {'conference': 'East', 'division': 'Central'}}"
11,Golden State Warriors,Warriors,GSW,Golden State,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Warriors_de_Golden_State_logo.svg/1200px-Warriors_de_Golden_State_logo.svg.png,False,True,"{'standard': {'conference': 'West', 'division': 'Pacific'}, 'sacramento': {'conference': 'California', 'division': None}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'West', 'division': 'Pacific'}}"
12,Guangzhou Long-Lions,Long-Lions,GUA,Guangzhou,https://upload.wikimedia.org/wikipedia/en/thumb/d/df/Guangzhou_Long-Lions_logo.png/220px-Guangzhou_Long-Lions_logo.png,False,False,"{'standard': {'conference': 'Intl', 'division': None}}"
13,Haifa Maccabi Haifa,Maccabi Haifa,MAC,Haifa,https://upload.wikimedia.org/wikipedia/en/4/4c/Maccabi_Haifa_B.C_logo.png,False,False,"{'standard': {'conference': 'Intl', 'division': None}}"
14,Houston Rockets,Rockets,HOU,Houston,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,False,True,"{'standard': {'conference': 'West', 'division': 'Southwest'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'West', 'division': 'Southwest'}, 'sacramento': {'conference': 'West', 'division': 'Southwest'}}"
15,Indiana Pacers,Pacers,IND,Indiana,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,False,True,"{'standard': {'conference': 'East', 'division': 'Central'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'East', 'division': 'Central'}, 'sacramento': {'conference': 'East', 'division': 'Central'}}"
16,LA Clippers,Clippers,LAC,LA,https://upload.wikimedia.org/wikipedia/fr/d/d6/Los_Angeles_Clippers_logo_2010.png,False,True,"{'standard': {'conference': 'West', 'division': 'Pacific'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'West', 'division': 'Pacific'}, 'sacramento': {'conference': 'West', 'division': 'Pacific'}}"
17,Los Angeles Lakers,Lakers,LAL,Los Angeles,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,False,True,"{'standard': {'conference': 'West', 'division': 'Pacific'}, 'sacramento': {'conference': 'California', 'division': None}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'West', 'division': 'Pacific'}}"
18,Melbourne United,United,MEL,Melbourne,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Melbourne_United_logo.svg/220px-Melbourne_United_logo.svg.png,False,False,"{'standard': {'conference': 'Intl', 'division': None}}"
